ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
Stroke not specified as haemorrhage or infarction	stroke	EFO_0000712	Exact	I64	DONE	
Subarachnoid haemorrhage	subarachnoid hemorrhage	EFO_0000713	Exact	I60	DONE	
Unspecified human immunodeficiency virus	HIV infection	EFO_0000764	Exact	B24	DONE	
Other endocrine disorders	endocrine system disease	EFO_0001379	Exact	E34	DONE	
Other diseases of liver	liver disease	EFO_0001421	Exact	K76	DONE	
Primary disorders of muscles	muscular disease	EFO_0002970	Exact	G71	DONE	
Pervasive developmental disorders	pervasive developmental disorder - not otherwise specified	EFO_0003759	Exact	F84	DONE	
Other cerebrovascular diseases	cerebrovascular disorder	EFO_0003763	Exact	I67	DONE	
Other diseases of gallbladder	gallbladder disease	EFO_0003832	Exact	K82	DONE	
Pain	pain	EFO_0003843	Exact	R52	DONE	
Fracture of spine level unspecified	spinal fracture'	EFO_0003902	Exact	T08	DONE	
Acute hepatitis B	hepatitis B infection	EFO_0004197	Exact	B16	DONE	
Abnormalities of heart beat	cardiac arrythmia	EFO_0004269	Exact	R00	DONE	
Scoliosis	scoliosis	EFO_0004273	Exact	M41	DONE	
Other congenital malformations of heart	congenital heart malformation	EFO_0005269	Exact	Q24	DONE	
Disorders of tooth development and eruption	tooth agenesis	EFO_0005410	Exact	K00	DONE	
Intracerebral haemorrhage	intracerebral hemorrhage	EFO_0005669	Exact	I61	DONE	
Retinal detachments and breaks	retinal detachment	EFO_0005773	Exact	H33	DONE	
Tuberculosis of nervous system	central nervous system tuberculosis	EFO_0007199	Exact	A17	DONE	
Acute hepatitis A	hepatitis A	EFO_0007305	Exact	B15	DONE	
Hookworm diseases	hookworm infectious disease	EFO_0007314	Exact	B76	DONE	
Female infertility	female infertility	EFO_0008560	Exact	N97	DONE	
Sleep disorders	sleep disorder	EFO_0008568	Exact	G47	DONE	
Thiamine deficiency	Thiamine deficiency	EFO_0008569	Exact	E51	DONE	
Viral conjunctivitis	viral conjunctivitis	EFO_0008571	Exact	B30	DONE	
Alcoholic liver disease	alcoholic liver disease	EFO_0008573	Exact	K70	DONE	
Spinal osteochondrosis	Spinal Osteochondrosis	EFO_0008576	Exact	M42	DONE	
Diseases of salivary glands	salivary gland disease	EFO_0008581	Exact	K11	DONE	
Gender identity disorders	gender identity disorder	EFO_0008587	Exact	F64	DONE	
Status asthmaticus	status asthmaticus	EFO_0008590	Exact	J46	DONE	
Cystic kidney disease	cystic kidney disease	EFO_0008615	Exact	Q61	DONE	
Polyp of female genital tract	female genital tract polyp	EFO_0008622	Exact	N84	DONE	
Persistent mood	dysthymic disorder	EFO_0008623	Exact	F34	DONE	
Disorders of vitreous body	vitreous body disease	EFO_0008624	Exact	H43	DONE	
Ovarian dysfunction	ovarian dysfunction	EFO_0009003	Exact	E28	DONE	
Other coagulation defects	blood coagulation disease	EFO_0009314	Exact	D68	DONE	
Granulomatous disorders of skin and subcutaneous tissue	granulomatous dermatitis	EFO_1000705	Exact	L92	DONE	
Excessive vomiting in pregnancy	hyperemesis gravidarum	EFO_1000971	Exact	O21	DONE	
Hyperfunction of pituitary gland	hyperpituitarism	EFO_1000973	Exact	E22	DONE	
Other nutritional deficiencies	nutritional deficiency disease	EFO_1001067	Exact	E63	DONE	
Other rheumatic heart diseases	rheumatic heart disease	EFO_1001161	Exact	I09	DONE	
Other helminthiases	Helminthiasis	EFO_1001342	Exact	B83	DONE	
Unspecified viral infection of CNS	central nervous system infection	EFO_1001456	Exact	A89	DONE	
Diverticular disease of intestine	diverticulitis	EFO_1001460	Exact	K57	DONE	
Premature separation of placenta	Abruptio Placentae	EFO_1001754	Exact	O45	DONE	
Retention of urine	Urinary retention	HP_0000016	Exact	R33	DONE	
Unspecified urinary incontinence	Urinary incontinence	HP_0000020	Exact	R32	DONE	
Isolated proteinuria	proteinuria	HP_0000093	Exact	R80	DONE	
Cleft palate	cleft palate	HP_0000175	Exact	Q35	DONE	
Hydrocephalus	hydrocephalus	HP_0000238	Exact	G91	DONE	
Visual disturbances	Visual impairment	HP_0000505	Exact	H53	DONE	
Unspecified dementia	dementia	HP_0000726	Exact	F03	DONE	
Unspecified haematuria	hematuria	HP_0000790	Exact	R31	DONE	
Cholecystitis	Cholecystitis	HP_0001082	Exact	K81	DONE	
Dystonia	Dystonia	HP_0001332	Exact	G24	DONE	
Ascites	Ascites	HP_0001541	Exact	R18	DONE	
Iron deficiency anaemia	Iron deficiency anemia	HP_0001891	Exact	D50	DONE	
Acute renal failure	acute kidney injury	HP_0001919	Exact	N17	DONE	
Nonspecific lymphadenitis	lymphadenitis	HP_0002840	Exact	I88	DONE	
Cachexia	cachexia	HP_0004326	Exact	R64	DONE	
Disseminated intravascular coagulation	Disseminated intravascular coagulation	HP_0005521	Exact	D65	DONE	
Senile cataract	age-related cataract	HP_0011141	Exact	H25	DONE	
Agranulocytosis	Agranulocytosis	HP_0012234	Exact	D70	DONE	
Helicobacter pylori	Helicobacter pylori	NCBITaxon_210	Exact	B98	DONE	
Reduction defects of lower limb	Hemimelia	Orphanet_2130	Exact	Q72	DONE	
Congenital hydrocephalus	Congenital hydrocephalus	Orphanet_2185	Exact	Q03	DONE	
Immunodeficiency with predominantly antibody defects	Other immunodeficiency syndrome with predominantly antibody defects	Orphanet_331244	Exact	D80	DONE	
Congenital malformations of oesophagus	Esophageal malformation	Orphanet_88993	Exact	Q39	DONE	
Syndactyly	Syndactyly	Orphanet_90025	Exact	Q70	DONE	
Other congenital malformations of intestine	Intestinal malformation	Orphanet_97945	Exact	Q43	DONE	
Other functional intestinal disorders	intestinal disease	EFO_0009431	Broad	K59	DONE	
Other disorders of peripheral nervous system	peripheral nervous system disease	EFO_0009387	Exact	G64	DONE	
Spondylosis	spondyloarthropathy	EFO_0000706	Exact	M47	DONE	
Hypofunction and other disorders of pituitary gland	hypopituitarism, pituitary gland disease	EFO_0001380, EFO_0009607	Exact	E23	DONE	
Other retinal disorders	retinopathy	EFO_0003839	Exact	H35	DONE	
Arterial embolism and thrombosis	venous thromboembolism	EFO_0004286	Exact	I74	DONE	
Juvenile osteochondrosis of hip and pelvis	Legg-Calvé-Perthes disease	Orphanet_2380	Exact	M91	DONE	
Encephalitis myelitis and encephalomyelitis	meningoencephalitis	EFO_0007364	Exact	G04	DONE	
Atrial fibrillation and flutter	atrial fibrillation	EFO_0000275	Exact	I48	DONE	
Dermatopolymyositis	dermatomyositis	EFO_0000398	Exact	M33	DONE	
Lack of food	malnutrition	EFO_0008572	Exact	X53	DONE	
Inflammatory diseases of prostate	prostatitis	EFO_0003830	Exact	N41	DONE	
Chronic renal failure	chronic kidney disease	EFO_0003884	Exact	N18	DONE	
Postpolio syndrome	postpoliomyelitis syndrome	EFO_0007454	Exact	G14	DONE	
Dementia in Alzheimer s disease	Alzheimer's disease	EFO_0000249	Broad	F00	DONE	
Other disorders of circulatory system in diseases classified elsewhere	cardiovascular disease	EFO_0000319	Broad	I98	DONE	
Meningitis due to other causes	infectious meningitis	EFO_0000584	Broad	G03	DONE	
Gestational hypertension with significant proteinuria	preeclampsia	EFO_0000668	Broad	O14	DONE	
Respiratory disorders in diseases classified elsewhere	respiratory system disease	EFO_0000684	Broad	J99	DONE	
Vitamin B12 deficiency anaemia	vitamin B12 deficiency	EFO_0000734	Broad	D51	DONE	
Unspecified arthropod borne viral fever	viral disease	EFO_0000763	Broad	A94	DONE	
HIV disease resulting in infectious and parasitic diseases	AIDS	EFO_0000765	Broad	B20	DONE	
Chronic ischaemic heart disease	coronary heart disease	EFO_0001645	Broad	I25	DONE	
Mental and behavioural disorders due to use of cocaine	cocaine dependence	EFO_0002610	Broad	F14	DONE	
Benign mammary dysplasia	breast fibrocystic disease	EFO_0003014	Broad	N60	DONE	
Depressive episode	unipolar depression	EFO_0003761	Broad	F32	DONE	
Recurrent depressive disorder	unipolar depression	EFO_0003761	Broad	F33	DONE	
Mental and behavioural disorders due to use of tobacco	nicotine dependence	EFO_0003768	Broad	F17	DONE	
Mental and behavioural disorders due to use of alcohol	alcohol dependence	EFO_0003829	Broad	F10	DONE	
Dorsalgia	pain	EFO_0003843	Broad	M54	DONE	
Disorders of globe	eye disease	EFO_0003966	Broad	H44	DONE	
Mental and behavioural disorders due to use of cannabinoids	cannabis dependence	EFO_0007191	Broad	F12	DONE	
Osteochondrodysplasia with defects of growth of tubular bones and spine	osteochondrodysplasia	EFO_0005571	Broad	Q77	DONE	
Mental and behavioural disorders due to use of opioids	opioid dependence	EFO_0005611	Broad	F11	DONE	
Mosquito borne viral encephalitis	viral encephalitis	EFO_0007538	Broad	A83	DONE	
Tick borne viral encephalitis	viral encephalitis	EFO_0007538	Broad	A84	DONE	
Respiratory tuberculosis confimed	pulmonary tuberculosis	EFO_1000049	Broad	A15	DONE	
Unspecified lump in breast	breast cyst	EFO_1000848	Broad	N63	DONE	
Erysipeloid	Erysipelothrix rhusiopathiae infection	EFO_1000928	Broad	A26	DONE	
Rheumatic fever without mention of heart involvement	rheumatic fever	EFO_1001160	Broad	I00	DONE	
Pyogenic arthritis	infectious arthritis	EFO_1001351	Broad	M00	DONE	
Toxic effect of metals	heavy metal poisoning	EFO_1001518	Broad	T56	DONE	
Staphylococcal scalded skin syndrome	staphylococcal skin infection	EFO_1001849	Broad	L00	DONE	
Phobic anxiety disorders	phobic disorder	EFO_1001908	Broad	F40	DONE	
Adult osteomalacia	osteomalacia	EFO_1002027	Broad	M83	DONE	
Functional disorders of polymorphonuclear neutrophils	Functional neutrophil defect	Orphanet_183681	Broad	D71	DONE	
Encephalocele	isolated encephalocele	Orphanet_199647	Broad	Q01	DONE	
Tuberculosis of other organs	tuberculosis	Orphanet_3389	Broad	A18	DONE	
Localized adiposity	lipedema	Orphanet_77243	Broad	E65	DONE	
Atopic dermatitis	atopic aczema	EFO_0000274	Exact	L20	DONE	
Cardiomyopathy	cardiomyopathy	EFO_0000318	Exact	I42	DONE	
other disorders of circulatory system	cardiovascular disease	EFO_0000319	Exact	I99	DONE	
Crohn s disease	Crohn's disease	EFO_0000384	Exact	K50	DONE	
Unspecified diabetes mellitus	diabetes mellitus	EFO_0000400	Exact	E14	DONE	
Other specified diabetes mellitus	diabetes mellitus	EFO_0000400	Exact	E13	DONE	
Epilepsy	epilepsy	EFO_0000474	Exact	G40	DONE	
Glaucoma	glaucoma	EFO_0000516	Exact	H40	DONE	
Irritable bowel syndrome	irritable bowel syndrome	EFO_0000555	Exact	K58	DONE	
Schizophrenia	schizophrenia	EFO_0000692	Exact	F20	DONE	
Ulcerative colitis	ulcerative colitis	EFO_0000729	Exact	K51	DONE	
Viral infection of unspecified site	viral disease	EFO_0000763	Exact	B34	DONE	
Myositis	myositis	EFO_0000783	Exact	M60	DONE	
Other cataract	cataract	EFO_0001059	Exact	H26	DONE	
Cytomegaloviral disease	cytomegalovirus infection	EFO_0001062	Exact	B25	DONE	
Endometriosis	endometriosis	EFO_0001065	Exact	N80	DONE	
Obesity	obesity	EFO_0001073	Exact	E66	DONE	
Insulin dependent diabetes mellitus	type I diabetes mellitus	EFO_0001359	Exact	E10	DONE	
Non insulin dependent diabetes mellitus	type II diabetes mellitus	EFO_0001360	Exact	E11	DONE	
Parkinson s disease	Parkinson's disease	EFO_0002508	Exact	G20	DONE	
Juvenile arthritis	chronic childhood arthritis	EFO_0002609	Exact	M08	DONE	
Cellulitis	cellulitis	EFO_0003035	Exact	L03	DONE	
Cushing s syndrome	Cushing syndrome	EFO_0003099	Exact	E24	DONE	
Osteomyelitis	osteomyelitis	EFO_0003102	Exact	M86	DONE	
Spina bifida	spina bifida	EFO_0003105	Exact	Q05	DONE	
Heart failure	heart failure	EFO_0003144	Exact	I50	DONE	
Vitamin D deficiency	vitamin D deficiency	EFO_0003762	Exact	E55	DONE	
Dental caries	dental caries	EFO_0003819	Exact	K02	DONE	
Migraine	migraine disorder	EFO_0003821	Exact	G43	DONE	
Pulmonary embolism	pulmonary embolism	EFO_0003827	Exact	I26	DONE	
Other peripheral vascular diseases	peripheral vascular disease	EFO_0003875	Exact	I73	DONE	
Multiple sclerosis	multiple sclerosis	EFO_0003885	Exact	G35	DONE	
Acne	acne	EFO_0003894	Exact	L70	DONE	
Ankylosing spondylitis	ankylosing spondylitis	EFO_0003898	Exact	M45	DONE	
Angina pectoris	angina pectoris	EFO_0003913	Exact	I20	DONE	
Atherosclerosis	atherosclerosis	EFO_0003914	Exact	I70	DONE	
Gastro oesophageal reflux disease	gastroesophageal reflux disease	EFO_0003948	Exact	K21	DONE	
Sunburn	sunburn	EFO_0003958	Exact	L55	DONE	
Cleft lip	cleft lip	EFO_0003959	Exact	Q36	DONE	
Androgenic alopecia	androgenic alopecia	EFO_0004191	Exact	L64	DONE	
Alopecia areata	alopecia areata	EFO_0004192	Exact	L63	DONE	
Vitiligo	vitiligo	EFO_0004208	Exact	L80	DONE	
Hypospadias	hypospadias	EFO_0004209	Exact	Q54	DONE	
Otosclerosis	otosclerosis	EFO_0004213	Exact	H80	DONE	
Conduct disorders	conduct disorder	EFO_0004216	Exact	F91	DONE	
Male infertility	male infertility	EFO_0004248	Exact	N46	DONE	
Meningococcal infection	meningococcal infection	EFO_0004249	Exact	A39	DONE	
Calculus of kidney and ureter	nephrolithiasis	EFO_0004253	Exact	N20	DONE	
Nephrotic syndrome	nephrotic syndrome	EFO_0004255	Exact	N04	DONE	
Osteonecrosis	osteonecrosis	EFO_0004259	Exact	M87	DONE	
Paget s disease of bone	osteitis deformans	EFO_0004261	Exact	M88	DONE	
Other anaemias	anemia	EFO_0004272	Exact	D64	DONE	
Gout	gout	EFO_0004274	Exact	M10	DONE	
Diabetes mellitus in pregnancy	gestational diabetes	EFO_0004593	Exact	O24	DONE	
Duodenal ulcer	duodenal ulcer	EFO_0004607	Exact	K26	DONE	
Cholelithiasis	cholelithiasis	EFO_0004799	Exact	K80	DONE	
Leishmaniasis	Leishmaniasis	EFO_0005044	Exact	B55	DONE	
Eating disorders	eating disorder	EFO_0005203	Exact	F50	DONE	
Hypotension	hypotension	EFO_0005251	Exact	I95	DONE	
Unspecified contact dermatitis	contact dermatitis	EFO_0005319	Exact	L25	DONE	
Schizoaffective disorders	schizoaffective disorder	EFO_0005411	Exact	F25	DONE	
Urticaria	urticaria	EFO_0005531	Exact	L50	DONE	
Seborrhoeic keratosis	seborrheic keratosis	EFO_0005584	Exact	L82	DONE	
Shigellosis	shingellosis	EFO_0005585	Exact	A03	DONE	
Other vitamin deficiencies	vitamin deficiency	EFO_0005878	Exact	E56	DONE	
Zoster	Herpes Zoster	EFO_0006510	Exact	B02	DONE	
Pyoderma gangrenosum	pyoderma gangrenosum	EFO_0006835	Exact	L88	DONE	
Decubitus ulcer	decubitus ulcer	EFO_0007067	Exact	L89	DONE	
Actinomycosis	actinomycosis	EFO_0007128	Exact	A42	DONE	
Amoebiasis	amebiasis	EFO_0007144	Exact	A06	DONE	
Unspecified appendicitis	appendicitis	EFO_0007149	Exact	K37	DONE	
Ascariasis	ascariasis	EFO_0007154	Exact	B77	DONE	
Aspergillosis	aspergillosis	EFO_0007157	Exact	B44	DONE	
Varicella	chickenpox	EFO_0007204	Exact	B01	DONE	
Cryptococcosis	cryptococcosis	EFO_0007229	Exact	B45	DONE	
Echinococcosis	echinococcosis	EFO_0007245	Exact	B67	DONE	
Enterobiasis	enterobiasis	EFO_0007254	Exact	B80	DONE	
Granuloma inguinale	granuloma inguinale	EFO_0007291	Exact	A58	DONE	
Histoplasmosis	histoplasmosis	EFO_0007310	Exact	B39	DONE	
Infectious mononucleosis	infectious mononucleosis	EFO_0007326	Exact	B27	DONE	
Leptospirosis	leptospirosis	EFO_0007344	Exact	A27	DONE	
Listeriosis	listeriosis	EFO_0007347	Exact	A32	DONE	
Miliary tuberculosis	miliary tuberculosis	EFO_0007368	Exact	A19	DONE	
Myiasis	myiasis	EFO_0007389	Exact	B87	DONE	
Optic neuritis	optic neuritis	EFO_0007405	Exact	H46	DONE	
Placenta praevia	placenta praevia	EFO_0007442	Exact	O44	DONE	
Plasmodium falciparum malaria	Plasmodium falciparum malaria	EFO_0007444	Exact	B50	DONE	
Plasmodium vivax malaria	Plasmodium vivax malaria	EFO_0007445	Exact	B51	DONE	
Acute poliomyelitis	poliomyelitis	EFO_0007450	Exact	A80	DONE	
Scarlet fever	scarlet fever	EFO_0007477	Exact	A38	DONE	
Strongyloidiasis	strongyloidiasis	EFO_0007501	Exact	B78	DONE	
Suppurative and unspecified otitis media	suppurative otitis media	EFO_0007503	Exact	H66	DONE	
other syphilis	syphilis	EFO_0007504	Exact	A53	DONE	
Toxoplasmosis	toxoplasmosis	EFO_0007517	Exact	B58	DONE	
Yaws	yaws	EFO_0007548	Exact	A66	DONE	
Status epilepticus	status epilepticus	EFO_0008526	Exact	G41	DONE	
Fracture of femur	femur fracture	EFO_0008553	Exact	S72	DONE	
Diaphragmatic hernia	diaphragmatic hernia	EFO_0008561	Exact	K44	DONE	
Niacin deficiency	vitamin B3 deficiency	EFO_0008570	Exact	E52	DONE	
Gangrene	gangrene	EFO_0008574	Exact	R02	DONE	
Acute myocardial infarction	acute myocardial infarction	EFO_0008583	Exact	I21	DONE	
Subsequent myocardial infarction	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardian infarction	EFO_0008584	Exact	I22	DONE	
Peritonitis	peritonitis	EFO_0008588	Exact	K65	DONE	
Diseases of spleen	splenic disease	EFO_0009002	Exact	D73	DONE	
Typhus fever	typhus	EFO_0009117	Exact	A75	DONE	
Other diseases of intestine	intestinal disease	EFO_0009431	Exact	K63	DONE	
Fibroblastic disorders	fibroblastic disorder	EFO_0009432	Exact	M72	DONE	
Unspecified acute lower respiratory infection	lower respiratory tract disease	EFO_0009433	Exact	J22	DONE	
Other ill defined and unspecified causes of mortality	death by undetermined cause	EFO_0009434	Exact	R99	DONE	
Cystitis	cystitis	EFO_1000025	Exact	N30	DONE	
Lactose intolerance	lactose intolerance	EFO_1000062	Exact	E73	DONE	
Thyroiditis	thyroid disease	EFO_1000627	Exact	E06	DONE	
Acute pancreatitis	acute pancreatitis	EFO_1000652	Exact	K85	DONE	
Acanthosis nigricans	acanthosis nigricans	EFO_1000660	Exact	L83	DONE	
Allergic contact dermatitis	allergic contact dermatitis	EFO_1000668	Exact	L23	DONE	
Cholesteatoma of middle ear	cholesteatoma of middle ear	EFO_1000678	Exact	H71	DONE	
Erythema multiforme	erythema multiforme	EFO_1000694	Exact	L51	DONE	
Hyperhidrosis	hypohidrosis	EFO_1000712	Exact	R61	DONE	
Impetigo	impetigo	EFO_1000714	Exact	L01	DONE	
Irritant contact dermatitis	irritant dermatitis	EFO_1000718	Exact	L24	DONE	
Lichen planus	lichen planus	EFO_1000726	Exact	L43	DONE	
Parapsoriasis	parapsoriasis	EFO_1000747	Exact	L41	DONE	
Pemphigus	pemphigus	EFO_1000749	Exact	L10	DONE	
Pityriasis rosea	pityriasis rosea	EFO_1000756	Exact	L42	DONE	
Rosacea	rosacea	EFO_1000760	Exact	L71	DONE	
Seborrhoeic dermatitis	seborrheic dermatitis	EFO_1000764	Exact	L21	DONE	
Atrophic disorders of skin	skin atrophy	EFO_1000766	Exact	L90	DONE	
Coxarthrosis	osteoarthritis, hip	EFO_1000786	Exact	M16	DONE	
Coalworker s pneumoconiosis	anthracosis	EFO_1000814	Exact	J60	DONE	
Ascorbic acid deficiency	ascorbic acid deficiency	EFO_1000822	Exact	E54	DONE	
Bacterial meningitis	bacterial meningitis	EFO_1000831	Exact	G00	DONE	
Dysplasia of cervix uteri	dysplasia of cervix	EFO_1000910	Exact	N87	DONE	
Habitual aborter	habitual abortion	EFO_1000954	Exact	N96	DONE	
