"ICD10"	"meaning"	"node_id"	"parent_id"	"selectable"	"phecode"	"description"	"group"	"groupnum"	"added"	"sex"	"rollup"	"leaf"
"A07.0"	"A07.0 Balantidiasis"	340	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07.1"	"A07.1 Giardiasis [lambliasis]"	341	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07.2"	"A07.2 Cryptosporidiosis"	342	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07.3"	"A07.3 Isosporiasis"	343	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07.8"	"A07.8 Other specified protozoal intestinal diseases"	344	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A07.9"	"A07.9 Protozoal intestinal disease, unspecified"	345	339	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A08"	"A08 Viral and other specified intestinal infections"	346	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.0"	"A08.0 Rotaviral enteritis"	347	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.1"	"A08.1 Acute gastro-enteropathy due to Norwalk agent"	348	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.2"	"A08.2 Adenoviral enteritis"	349	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.3"	"A08.3 Other viral enteritis"	350	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.4"	"A08.4 Viral intestinal infection, unspecified"	351	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A08.5"	"A08.5 Other specified intestinal infections"	352	346	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A09"	"A09 Diarrhoea and gastro-enteritis of presumed infectious origin"	353	23	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A09.0"	"A09.0 Other and unspecified gastroenteritis and colitis of infectious origin"	354	353	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A09.9"	"A09.9 Gastroenteritis and colitis of unspecified origin"	355	353	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A21.3"	"A21.3 Gastro-intestinal tularaemia"	410	406	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A22.2"	"A22.2 Gastro-intestinal anthrax"	417	414	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A01.0"	"A01.0 Typhoid fever"	291	290	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02"	"A02 Other Salmonella infections"	296	23	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02.0"	"A02.0 Salmonella gastro-enteritis"	297	296	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02.1"	"A02.1 Salmonella septicaemia"	298	296	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02.2"	"A02.2 Localised Salmonella infections"	299	296	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02.8"	"A02.8 Other specified Salmonella infections"	300	296	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A02.9"	"A02.9 Salmonella infection, unspecified"	301	296	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03"	"A03 Shigellosis"	302	23	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.0"	"A03.0 Shigellosis due to Shigella dysenteriae"	303	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.1"	"A03.1 Shigellosis due to Shigella flexneri"	304	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.2"	"A03.2 Shigellosis due to Shigella boydii"	305	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.3"	"A03.3 Shigellosis due to Shigella sonnei"	306	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.8"	"A03.8 Other shigellosis"	307	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A03.9"	"A03.9 Shigellosis, unspecified"	308	302	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A04.0"	"A04.0 Enteropathogenic Escherichia coli infection"	310	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.1"	"A04.1 Enterotoxigenic Escherichia coli infection"	311	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.2"	"A04.2 Enteroinvasive Escherichia coli infection"	312	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.3"	"A04.3 Enterohaemorrhagic Escherichia coli infection"	313	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.4"	"A04.4 Other intestinal Escherichia coli infections"	314	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.5"	"A04.5 Campylobacter enteritis"	315	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A04.6"	"A04.6 Enteritis due to Yersinia enterocolitica"	316	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A04.7"	"A04.7 Enterocolitis due to Clostridium difficile"	317	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"A04.8"	"A04.8 Other specified bacterial intestinal infections"	318	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A04.9"	"A04.9 Bacterial intestinal infection, unspecified"	319	309	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.0"	"A05.0 Foodborne staphylococcal intoxication"	321	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.1"	"A05.1 Botulism"	322	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.2"	"A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	323	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.3"	"A05.3 Foodborne Vibrio parahaemolyticus intoxication"	324	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.4"	"A05.4 Foodborne Bacillus cereus intoxication"	325	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A05.8"	"A05.8 Other specified bacterial foodborne intoxications"	326	320	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"A04.0"	"A04.0 Enteropathogenic Escherichia coli infection"	310	309	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A04.1"	"A04.1 Enterotoxigenic Escherichia coli infection"	311	309	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A04.2"	"A04.2 Enteroinvasive Escherichia coli infection"	312	309	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A04.3"	"A04.3 Enterohaemorrhagic Escherichia coli infection"	313	309	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A04.4"	"A04.4 Other intestinal Escherichia coli infections"	314	309	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A04.7"	"A04.7 Enterocolitis due to Clostridium difficile"	317	309	"Y"	"008.52"	"Intestinal infection due to C. difficile"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08"	"A08 Viral and other specified intestinal infections"	346	23	"N"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.0"	"A08.0 Rotaviral enteritis"	347	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.1"	"A08.1 Acute gastro-enteropathy due to Norwalk agent"	348	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.2"	"A08.2 Adenoviral enteritis"	349	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.3"	"A08.3 Other viral enteritis"	350	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.4"	"A08.4 Viral intestinal infection, unspecified"	351	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A08.5"	"A08.5 Other specified intestinal infections"	352	346	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A06.1"	"A06.1 Chronic intestinal amoebiasis"	330	328	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A07.0"	"A07.0 Balantidiasis"	340	339	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A07.1"	"A07.1 Giardiasis [lambliasis]"	341	339	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A07.2"	"A07.2 Cryptosporidiosis"	342	339	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A07.8"	"A07.8 Other specified protozoal intestinal diseases"	344	339	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.0"	"A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture"	357	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.1"	"A15.1 Tuberculosis of lung, confirmed by culture only"	358	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.2"	"A15.2 Tuberculosis of lung, confirmed histologically"	359	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.3"	"A15.3 Tuberculosis of lung, confirmed by unspecified means"	360	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.4"	"A15.4 Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"	361	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.5"	"A15.5 Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"	362	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.6"	"A15.6 Tuberculous pleurisy, confirmed bacteriologically and histologically"	363	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A15.7"	"A15.7 Primary respiratory tuberculosis, confirmed bacteriologically and histologically"	364	356	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16"	"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically"	367	24	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.0"	"A16.0 Tuberculosis of lung, bacteriologically and histologically negative"	368	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.1"	"A16.1 Tuberculosis of lung, bacteriological and histological examination not done"	369	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.2"	"A16.2 Tuberculosis of lung, without mention of bacteriological or histological confirmation"	370	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.3"	"A16.3 Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"	371	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.4"	"A16.4 Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	372	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.5"	"A16.5 Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	373	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.7"	"A16.7 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	374	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.8"	"A16.8 Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"	375	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A16.9"	"A16.9 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	376	367	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A17"	"A17 Tuberculosis of nervous system"	377	24	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A17.0"	"A17.0 Tuberculous meningitis"	378	377	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A17.1"	"A17.1 Meningeal tuberculoma"	379	377	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A17.8"	"A17.8 Other tuberculosis of nervous system"	380	377	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A17.9"	"A17.9 Tuberculosis of nervous system, unspecified"	381	377	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18"	"A18 Tuberculosis of other organs"	382	24	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.0"	"A18.0 Tuberculosis of bones and joints"	383	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.1"	"A18.1 Tuberculosis of genito-urinary system"	384	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.2"	"A18.2 Tuberculous peripheral lymphadenopathy"	385	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.3"	"A18.3 Tuberculosis of intestines, peritoneum and mesenteric glands"	386	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.4"	"A18.4 Tuberculosis of skin and subcutaneous tissue"	387	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.5"	"A18.5 Tuberculosis of eye"	388	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.6"	"A18.6 Tuberculosis of ear"	389	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.7"	"A18.7 Tuberculosis of adrenal glands"	390	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A18.8"	"A18.8 Tuberculosis of other specified organs"	391	382	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19"	"A19 Miliary tuberculosis"	392	24	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19.0"	"A19.0 Acute miliary tuberculosis of a single specified site"	393	392	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19.1"	"A19.1 Acute miliary tuberculosis of multiple sites"	394	392	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19.2"	"A19.2 Acute miliary tuberculosis, unspecified"	395	392	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19.8"	"A19.8 Other miliary tuberculosis"	396	392	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"A19.9"	"A19.9 Miliary tuberculosis, unspecified"	397	392	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"B90"	"B90 Sequelae of tuberculosis"	1159	41	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"B90.0"	"B90.0 Sequelae of central nervous system tuberculosis"	1160	1159	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
