"ICD9"	"meaning"	"node_id"	"parent_id"	"selectable"	"phecode"	"description"	"group"	"groupnum"	"added"	"sex"	"rollup"	"leaf"
"008.0"	"0080 Intestinal infection due to escherichia coli"	238	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.1"	"0081 Intestinal infection due to arizona"	239	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.2"	"0082 Intestinal infection due to aerobacter aerogenes"	240	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.3"	"0083 Intestinal infection due to proteus (mirabilis)(morganii)"	241	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.4"	"0084 Intestinal infection due to other specified bacteria"	242	237	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.40"	"00840 Intestinal infection due to other specified bacteria (campylobacter)"	243	242	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.49"	"00849 Intestinal infection due to other specified bacteria"	244	242	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.5"	"0085 Bacterial enteritis - unspecified"	245	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.6"	"0086 Enteritis due to specified virus"	246	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.8"	"0088 Intestinal infection due to other organism not elsewhere classified"	247	237	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"009"	"009 Ill-defined intestinal infections"	248	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"009.0"	"0090 Infectious colitis, enteritis and gastroenteritis"	249	248	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"009.1"	"0091 Colitis, enteritis and gastroenteritis of presumed infectious origin"	250	248	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"009.2"	"0092 Infectious diarrhoea"	251	248	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"009.3"	"0093 Diarrhoea, of presumed infectious origin"	252	248	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"022.2"	"0222 Gastrointestinal anthrax"	625	622	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.0"	"0020 Typhoid fever"	194	193	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003"	"003 Other salmonella infections"	199	20	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003.0"	"0030 Salmonella gastroenteritis"	200	199	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003.1"	"0031 Salmonella septicaemia"	201	199	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003.2"	"0032 Localized salmonella infections"	202	199	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003.8"	"0038 Other specified salmonella infection"	203	199	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003.9"	"0039 Salmonella infection - unspecified"	204	199	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004"	"004 Shigellosis"	205	20	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.0"	"0040 Shigella dysenteriae"	206	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.1"	"0041 Shigella flexneri"	207	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.2"	"0042 Shigella boydii"	208	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.3"	"0043 Shigella sonnei"	209	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.8"	"0048 Other shigellosis"	210	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"004.9"	"0049 Shigellosis - unspecified"	211	205	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005"	"005 Other food poisoning (bacterial)"	212	20	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.0"	"0050 Staphylococcal food poisoning"	213	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.1"	"0051 Botulism"	214	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.2"	"0052 Food poisoning due to clostridium perfringens (cl. welchii)"	215	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.3"	"0053 Food poisoning due to other clostridia"	216	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.4"	"0054 Food poisoning due to vibrio parahaemolyticus"	217	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.8"	"0058 Other bacterial food poisoning"	218	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"005.9"	"0059 Food poisoning - unspecified"	219	212	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.0"	"0080 Intestinal infection due to escherichia coli"	238	237	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"008.1"	"0081 Intestinal infection due to arizona"	239	237	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.2"	"0082 Intestinal infection due to aerobacter aerogenes"	240	237	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.3"	"0083 Intestinal infection due to proteus (mirabilis)(morganii)"	241	237	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.4"	"0084 Intestinal infection due to other specified bacteria"	242	237	"N"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.40"	"00840 Intestinal infection due to other specified bacteria (campylobacter)"	243	242	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.49"	"00849 Intestinal infection due to other specified bacteria"	244	242	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.5"	"0085 Bacterial enteritis - unspecified"	245	237	"Y"	"008.5"	"Bacterial enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008.0"	"0080 Intestinal infection due to escherichia coli"	238	237	"Y"	"008.51"	"Intestinal e.coli"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"008.6"	"0086 Enteritis due to specified virus"	246	237	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"008.8"	"0088 Intestinal infection due to other organism not elsewhere classified"	247	237	"Y"	"008.6"	"Viral Enteritis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"006.1"	"0061 Chronic intestinal amoebiasis without mention of abscess"	222	220	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"007.0"	"0070 Balantidiasis"	231	230	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"007.1"	"0071 Giardiasis"	232	230	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"007.8"	"0078 Other protozoal intestinal diseases"	235	230	"Y"	"008.7"	"Intestinal infection due to protozoa"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010"	"010 Primary tuberculous infection"	253	21	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.0"	"0100 Primary tuberculous complex"	254	253	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.00"	"01000 Primary tuberculous complex (bact/hist not done)"	255	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.01"	"01001 Primary tuberculous complex (bact/hist unknown)"	256	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.02"	"01002 Primary tuberculous complex (microscopy)"	257	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.03"	"01003 Primary tuberculous complex (culture)"	258	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.04"	"01004 Primary tuberculous complex (histology)"	259	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.05"	"01005 Primary tuberculous complex (inoculation)"	260	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.09"	"01009 Primary tuberculous complex (method of diagnosis unspecified)"	261	254	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.1"	"0101 Tuberculous pleurisy in prim. prog. t.b."	262	253	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.10"	"01010 Tuberculous pleurisy in prim. prog. t.b. (bact/hist not done)"	263	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.11"	"01011 Tuberculous pleurisy in prim. prog. t.b. (bact/hist unknown)"	264	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.12"	"01012 Tuberculous pleurisy in prim. prog. t.b. (microscopy)"	265	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.13"	"01013 Tuberculous pleurisy in prim. prog. t.b. (culture)"	266	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.14"	"01014 Tuberculous pleurisy in prim. prog. t.b. (histology)"	267	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.15"	"01015 Tuberculous pleurisy in prim. prog. t.b. (inoculation)"	268	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.19"	"01019 Tuberculous pleurisy in prim. prog. t.b. (method unknown)"	269	262	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.8"	"0108 Other primary progressive tuberculosis"	270	253	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.80"	"01080 Other primary progressive tuberculosis (bact/hist not done)"	271	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.81"	"01081 Other primary progressive tuberculosis (bact/hist unknown)"	272	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.82"	"01082 Other primary progressive tuberculosis (microscopy)"	273	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.83"	"01083 Other primary progressive tuberculosis (culture)"	274	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.84"	"01084 Other primary progressive tuberculosis (histology)"	275	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.85"	"01085 Other primary progressive tuberculosis (inoculation)"	276	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.89"	"01089 Other primary progressive tuberculosis (method of diagnosis unspecified)"	277	270	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.9"	"0109 Unspecified primary tuberculous infection"	278	253	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.90"	"01090 Unspecified primary tuberculous infection (bact/hist not done)"	279	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.91"	"01091 Unspecified primary tuberculous infection (bact/hist unknown)"	280	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.92"	"01092 Unspecified primary tuberculous infection (microscopy)"	281	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.93"	"01093 Unspecified primary tuberculous infection (culture)"	282	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.94"	"01094 Unspecified primary tuberculous infection (histology)"	283	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.95"	"01095 Unspecified primary tuberculous infection (inoculation)"	284	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"010.99"	"01099 Unspecified primary tuberculous infection (method unknown)"	285	278	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011"	"011 Pulmonary tuberculosis"	286	21	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.0"	"0110 Tuberculosis of lung, infiltrative"	287	286	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.00"	"01100 Tuberculosis of lung, infiltrative (bact/hist not done)"	288	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.01"	"01101 Tuberculosis of lung, infiltrative (bact/hist unknown)"	289	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.02"	"01102 Tuberculosis of lung, infiltrative (microscopy)"	290	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.03"	"01103 Tuberculosis of lung, infiltrative (culture)"	291	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.04"	"01104 Tuberculosis of lung, infiltrative (histology)"	292	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.05"	"01105 Tuberculosis of lung, infiltrative (inoculation)"	293	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.09"	"01109 Tuberculosis of lung, infiltrative (method of diagnosis unspecified)"	294	287	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.1"	"0111 Tuberculosis of lung, nodular"	295	286	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.10"	"01110 Tuberculosis of lung, nodular (bact/hist not done)"	296	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.11"	"01111 Tuberculosis of lung, nodular (bact/hist unknown)"	297	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.12"	"01112 Tuberculosis of lung, nodular (microscopy)"	298	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.13"	"01113 Tuberculosis of lung, nodular (culture)"	299	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.14"	"01114 Tuberculosis of lung, nodular (histology)"	300	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.15"	"01115 Tuberculosis of lung, nodular (inoculation)"	301	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.19"	"01119 Tuberculosis of lung, nodular (method of diagnosis unspecified)"	302	295	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.2"	"0112 Tuberculosis of lung with cavitation"	303	286	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.20"	"01120 Tuberculosis of lung with cavitation (bact/hist not done)"	304	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.21"	"01121 Tuberculosis of lung with cavitation (bact/hist unknown)"	305	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.22"	"01122 Tuberculosis of lung with cavitation (microscopy)"	306	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.23"	"01123 Tuberculosis of lung with cavitation (culture)"	307	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.24"	"01124 Tuberculosis of lung with cavitation (histology)"	308	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.25"	"01125 Tuberculosis of lung with cavitation (inoculation)"	309	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.29"	"01129 Tuberculosis of lung with cavitation (method of diagnosis unspecified)"	310	303	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.3"	"0113 Tuberculosis of bronchus"	311	286	"N"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.30"	"01130 Tuberculosis of bronchus (bact/hist not done)"	312	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.31"	"01131 Tuberculosis of bronchus (bact/hist unknown)"	313	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.32"	"01132 Tuberculosis of bronchus (microscopy)"	314	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.33"	"01133 Tuberculosis of bronchus (culture)"	315	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.34"	"01134 Tuberculosis of bronchus (histology)"	316	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.35"	"01135 Tuberculosis of bronchus (inoculation)"	317	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
"011.39"	"01139 Tuberculosis of bronchus (method of diagnosis unspecified)"	318	311	"Y"	"010"	"Tuberculosis"	"infectious diseases"	"1"	"original"	"Both"	"1"	"1"
