"phecode"	"description"	"sex"	"rollup"	"leaf"	"groupnum"	"group"	"color"	"phecode_exclude_range"	"phecode_exclude_phenotypes"
"041.8"	"H. pylori"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.9"	"Infection with drug-resistant microorganisms"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"053"	"Herpes zoster"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"053.1"	"Herpes zoster with nervous system complications"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"054"	"Herpes simplex"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070"	"Viral hepatitis"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070.1"	"Viral hepatitis A"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070.2"	"Viral hepatitis B"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070.3"	"Viral hepatitis C"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070.4"	"Chronic hepatitis"	"Both"	"0"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"070.9"	"Hepatitis NOS"	"Both"	"0"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"071"	"Human immunodeficiency virus [HIV] disease"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"071.1"	"HIV infection, symptomatic"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"078"	"Viral warts & HPV"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"079"	"Viral infection"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"079.1"	"Varicella infection"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"079.2"	"Infectious mononucleosis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"079.9"	"Viremia, NOS"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"050-079.99"	" Viral infection"
"080"	"Postoperative infection"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"080-082.99"	" Postoperative infection"
"081"	"Infection/inflammation of internal prosthetic device; implant; and graft"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"080-082.99"	" Postoperative infection"
"081.1"	"Graft-versus-host disease"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"080-082.99"	" Postoperative infection"
"081.11"	"Acute graft-versus-host disease"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"080-082.99"	" Postoperative infection"
"081.12"	"Chronic graft-versus-host disease"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"080-082.99"	" Postoperative infection"
"090"	"Sexually transmitted infections (not HIV or hepatitis)"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"090-092.99"	" Sexually transmitted infections (not hiv or hepatitis)"
"090.2"	"Gonococcal infections"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"090-092.99"	" Sexually transmitted infections (not hiv or hepatitis)"
"090.3"	"Venereal diseases due to Chlamydia trachomatis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"090-092.99"	" Sexually transmitted infections (not hiv or hepatitis)"
"110"	"Dermatophytosis / Dermatomycosis"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"110.1"	"Dermatophytosis"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"110.11"	"Dermatophytosis of nail"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"110.12"	"Althete's foot"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"110.13"	"Dermatophytosis of the body"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"110.2"	"Dermatomycoses"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"112"	"Candidiasis"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"112.3"	"Candidiasis of skin and nails"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"117"	"Mycoses"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"117.1"	"Histoplasmosis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"117.2"	"Coccidioidomycosis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"117.3"	"Blastomycotic infection"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"117.4"	"Aspergillosis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"110-118.99"	" Mycoses"
"130"	"Spirochetal infection"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"130.1"	"Lyme disease"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"131"	"Protozoan infection"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"132"	"Infestation (lice, mites)"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"132.1"	"Pediculosis and phthirus infestation"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"133"	"Arthropod-borne diseases"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"134"	"Helminthiases"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"134.1"	"Intestinal helminthiases"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"136"	"Other infectious and parasitic diseases"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"130-136.99"	" Other infections; including parasitic"
"145"	"Cancer of mouth"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"145.1"	"Cancer of lip"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"145.2"	"Cancer of tongue"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"145.3"	"Cancer of major salivary glands"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"145.4"	"Cancer of the gums"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"145.5"	"Cancer of the mouth floor"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149"	"Cancer of larynx, pharynx, nasal cavities"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.1"	"Cancer of oropharynx"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.2"	"Cancer of nasopharynx"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.3"	"Cancer of hypopharynx"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.4"	"Cancer of larynx"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.5"	"Hx of malignant neoplasm of oral cavity and pharynx"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"149.9"	"Cancer of of nasal cavities"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-149.99, 210-210.99"	"Cancer/benign neoplams of lip, oral cavity, pharynx"
"150"	"Cancer of esophagus"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"151"	"Cancer of stomach"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"153"	"Colorectal cancer"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"150-159.99, 208-208.99"	" GI cancer; benign neoplasms of colon"
"153.2"	"Colon cancer"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"150-159.99, 208-208.99"	" GI cancer; benign neoplasms of colon"
"153.3"	"Malignant neoplasm of rectum, rectosigmoid junction, and anus"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"150-159.99, 208-208.99"	" GI cancer; benign neoplasms of colon"
"155"	"Cancer of liver and intrahepatic bile duct"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"155.1"	"Malignant neoplasm of liver, primary"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"157"	"Pancreatic cancer"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"158"	"Neoplasm of unspecified nature of digestive system"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"159"	"Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"159.2"	"Malignant neoplasm of small intestine, including duodenum"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"159.3"	"Malignant neoplasm of gallbladder and extrahepatic bile ducts"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"159.4"	"Malignant neoplasm of retroperitoneum and peritoneum"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"140-159.99, 210-211.99"	" cancer/benign neoplasm of gi tract"
"164"	"Cancer of intrathoracic organs"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"160-165.99"	"Malignant neoplasm of respiratory and intrathoracic organs"
"165"	"Cancer within the respiratory system"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"160-165.99"	"Malignant neoplasm of respiratory and intrathoracic organs"
"165.1"	"Cancer of bronchus; lung"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"160-165.99"	"Malignant neoplasm of respiratory and intrathoracic organs"
"170"	"Cancer of bone and connective tissue"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"170-171.99"	"Cancer of bone, connective tissue"
"170.1"	"Bone cancer"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"170-171.99"	"Cancer of bone, connective tissue"
"170.2"	"Cancer of connective tissue"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"170-171.99"	"Cancer of bone, connective tissue"
"172"	"Skin cancer"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.1"	"Melanomas of skin, dx or hx"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.11"	"Melanomas of skin"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.2"	"Other non-epithelial cancer of skin"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.21"	"Basal cell carcinoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.22"	"Squamous cell carcinoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"172.3"	"Carcinoma in situ of skin"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"173"	"Neoplasm of uncertain behavior of skin"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"172-173.99"	"Malignant neoplasm of skin"
"174"	"Breast cancer"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-610.99"	" cancer of female genital organs; breast dysplasia"
"174.1"	"Breast cancer [female]"	"Female"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-610.99"	" cancer of female genital organs; breast dysplasia"
"174.11"	"Malignant neoplasm of female breast"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-610.99"	" cancer of female genital organs; breast dysplasia"
"174.2"	"Breast cancer [male]"	"Male"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-610.99"	" cancer of female genital organs; breast dysplasia"
"174.3"	"Neoplasm of uncertain behavior of breast"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-610.99"	" cancer of female genital organs; breast dysplasia"
"175"	"Acquired absence of breast"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 610-611.99"	""
"180"	"Cervical cancer and dysplasia"	"Female"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 218-218.99, 792-792.99"	" cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear"
"180.1"	"Cervical cancer"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 218-218.99, 792-792.99"	" cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear"
"180.3"	"Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 218-218.99, 792-792.99"	" cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear"
"182"	"Malignant neoplasm of uterus"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 218-218.99"	" cancer of female genital organs; benign neoplasm of uterus"
"184"	"Cancer of other female genital organs"	"Female"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 220-221.99"	" cancer of female genital organs; benign neoplasm of female genital organs"
"184.1"	"Malignant neoplasm of ovary and other uterine adnexa"	"Female"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 220-221.99"	" cancer of female genital organs; benign neoplasm of female genital organs"
"184.11"	"Malignant neoplasm of ovary"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 220-221.99"	" cancer of female genital organs; benign neoplasm of female genital organs"
"184.2"	"Cancer of other female genital organs (excluding uterus and ovary)"	"Female"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"174-184.99, 220-221.99"	" cancer of female genital organs; benign neoplasm of female genital organs"
"185"	"Cancer of prostate"	"Male"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"185-187.99, 796-796.99, 600-602.99"	" male genital disorders/cancer/neoplasms; elevated psa"
"187"	"Cancer of other male genital organs"	"Male"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"185-187.99, 222-222.99"	" cancer/benign neoplasm of male genital organs"
"187.1"	"Malignant neoplasm of unspecified male genital organ"	"Male"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"185-187.99, 222-222.99"	" cancer/benign neoplasm of male genital organs"
"187.2"	"Malignant neoplasm of testis"	"Male"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"185-187.99, 222-222.99"	" cancer/benign neoplasm of male genital organs"
"187.8"	"Neoplasm of uncertain behavior of male genital organs"	"Male"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"185-187.99, 222-222.99"	" cancer/benign neoplasm of male genital organs"
"189"	"Cancer of urinary organs (incl. kidney and bladder)"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.1"	"Cancer of kidney and renal pelvis"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.11"	"Malignant neoplasm of kidney, except pelvis"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.12"	"Malignant neoplasm of renal pelvis"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.2"	"Cancer of bladder"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.21"	"Malignant neoplasm of bladder"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"189.4"	"Malignant neoplasm of other urinary organs"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"188-189.99"	"Malignant neoplasm of badder, kidney and other urinary organs"
"190"	"Cancer of eye"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"224-225.99, 190-192.99"	" cancer/benign neoplasm of eye, brain, nervous system"
"191"	"Manlignant and unknown neoplasms of brain and nervous system"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"224-225.99, 190-192.99"	" cancer/benign neoplasm of eye, brain, nervous system"
"191.1"	"Cancer of brain and nervous system"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"224-225.99, 190-192.99"	" cancer/benign neoplasm of eye, brain, nervous system"
"191.11"	"Cancer of brain"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"224-225.99, 190-192.99"	" cancer/benign neoplasm of eye, brain, nervous system"
"193"	"Thyroid cancer"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"193-194.99, 226-227.99"	" Cancer/benign tumor of thyroid gland, other endocrine glands"
"194"	"Cancer of other endocrine glands"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"193-194.99, 226-227.99"	" Cancer/benign tumor of thyroid gland, other endocrine glands"
"195"	"Cancer, suspected or other"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"195.1"	"Malignant neoplasm, other"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"195.3"	"Malignant neoplasm of head, face, and neck"	"Both"	""	""	"2"	"neoplasms"	"darkcyan"	""	""
"196"	"Radiotherapy"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"197"	"Chemotherapy"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198"	"Secondary malignant neoplasm"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.1"	"Secondary malignancy of lymph nodes"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.2"	"Secondary malignancy of respiratory organs"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.3"	"Secondary malignant neoplasm of digestive systems"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.4"	"Secondary malignant neoplasm of liver"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.5"	"Secondary malignancy of brain/spine"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.6"	"Secondary malignancy of bone"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"198.7"	"Secondary malignant neoplasm of skin"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"199"	"Neoplasm of uncertain behavior"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"199.4"	"Neurofibromatosis"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"195-199.99"	"Neoplasms: malignant, secondary or uncertain"
"200"	"Myeloproliferative disease"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"200.1"	"Polycythemia vera"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99, 289-289.99"	""
"201"	"Hodgkin's disease"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202"	"Cancer of other lymphoid, histiocytic tissue"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202.2"	"Non-Hodgkins lymphoma"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202.21"	"Nodular lymphoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202.22"	"Reticulosarcoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202.23"	"Lymphosarcoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"202.24"	"Large cell lymphoma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204"	"Leukemia"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.1"	"Lymphoid leukemia"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.11"	"Lymphoid leukemia, acute"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.12"	"Lymphoid leukemia, chronic"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.2"	"Myeloid leukemia"	"Both"	"1"	"0"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.21"	"Myeloid leukemia, acute"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.22"	"Myeloid leukemia, chronic"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.3"	"Monocytic leukemia"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
"204.4"	"Multiple myeloma"	"Both"	"1"	"1"	"2"	"neoplasms"	"darkcyan"	"200-204.99"	" cancer of lymphatic and hematopoietic tissue"
